Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
3/7/2023 11:00,General ,TIKTOK_BUSINESS,Evergreen ,1365,53,Video
3/7/2023 11:00,General ,INSTAGRAM,Evergreen ,13619,204,Video
3/7/2023 11:16,DOTA2,TWITTER,N/A ,2141,58,Text
3/7/2023 11:30,General ,TWITTER,Community Engagement ,18945,496,Photo
3/7/2023 11:39,General,LINKEDIN_COMPANY,Community Engagement ,1703,40,Link
3/7/2023 12:30,Valorant,YOUTUBE,Evil Exhibited ,53,5,Video
3/7/2023 12:39,General ,TWITTER,Evil Exhibited ,2388,225,Photo
3/7/2023 14:15,Content Creators,YOUTUBE,N/A ,0,0,Text
3/7/2023 14:53,General ,TWITTER,Community Engagement ,1451,63,Text
3/7/2023 21:00,General ,YOUTUBE,Evergreen ,341,6,Video
3/8/2023 6:00,General ,TIKTOK_BUSINESS,Evil Exhibited ,196070,9680,Video
3/8/2023 6:05,General ,INSTAGRAM,Evil Exhibited ,6700,82,Video
3/8/2023 10:00,General ,TWITTER,Evil Exhibited ,85655,3810,Photo
3/8/2023 10:00,General,LINKEDIN_COMPANY,Community Engagement ,1161,32,Photo
3/8/2023 11:40,General ,TWITTER,Evil Exhibited ,22840,396,Photo
3/8/2023 11:41,General ,INSTAGRAM,Evil Exhibited ,7048,153,Photo
3/8/2023 11:41,General ,INSTAGRAM,N/A ,0,0,Text
3/8/2023 11:43,Content Creators,YOUTUBE,N/A ,929,45,Video
3/8/2023 12:17,General ,YOUTUBE,N/A ,1762,39,Video
3/8/2023 12:30,Content Creators,YOUTUBE,Community Engagement ,54,7,Video
3/8/2023 12:30,Valorant,YOUTUBE,Evil Exhibited ,28,1,Video
3/8/2023 15:02,General ,TIKTOK_BUSINESS,Evergreen ,1712,107,Video
3/8/2023 15:02,General ,INSTAGRAM,Evergreen ,28146,981,Video
3/8/2023 15:56,General ,INSTAGRAM,Community Engagement ,9926,0,Photo
3/8/2023 15:56,General ,INSTAGRAM,N/A ,0,0,Photo
3/8/2023 16:14,DOTA2,TWITTER,Evil Exhibited ,1572,37,Photo
3/8/2023 16:51,CSGO,TWITTER,Community Engagement ,2791,77,Photo
3/8/2023 17:44,CSGO,TWITTER,Community Engagement ,2123,31,Photo
3/8/2023 19:20,CSGO,TWITTER,Community Engagement ,3219,103,Photo
3/9/2023 6:00,General ,TIKTOK_BUSINESS,Evil Exhibited ,441,7,Video
3/9/2023 6:06,General ,INSTAGRAM,Evil Exhibited ,6506,72,Video
3/9/2023 7:11,General,LINKEDIN_COMPANY,Community Engagement ,1571,20,Text
3/9/2023 8:28,DOTA2,TWITTER,Evil Exhibited ,1413,38,Video
3/9/2023 9:13,General ,YOUTUBE,N/A ,0,0,Video
3/9/2023 11:00,General ,TWITTER,Evil Exhibited ,13995,153,Photo
3/9/2023 11:00,General ,INSTAGRAM,Evil Exhibited ,7181,103,Photo
3/9/2023 11:00,General ,INSTAGRAM,N/A ,0,0,Text
3/9/2023 11:08,DOTA2,TWITTER,Evil Exhibited ,1207,46,Photo
3/9/2023 11:40,General ,TIKTOK_BUSINESS,N/A ,0,0,Video
3/9/2023 12:00,CSGO,TWITTER,Community Engagement ,108651,1538,Photo
3/9/2023 12:09,CSGO,TWITTER,Community Engagement ,807,19,Text
3/9/2023 12:30,General ,YOUTUBE,Community Engagement ,507,19,Video
3/9/2023 12:30,Valorant,YOUTUBE,Evil Exhibited ,204,9,Video
3/9/2023 13:52,Content Creators,YOUTUBE,N/A ,0,0,Text
3/9/2023 13:53,Content Creators,YOUTUBE,N/A ,0,0,Text
