Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type
2/3/2023 16:05,DOTA2,TWITTER,N/A ,940,43,Photo
2/3/2023 16:08,DOTA2,TWITTER,N/A ,849,20,Photo
2/3/2023 16:09,General ,TWITTER,Community Engagement ,11346,362,Video
2/3/2023 16:24,DOTA2,TWITTER,N/A ,1697,40,Photo
2/3/2023 16:27,DOTA2,TWITTER,N/A ,992,16,Text
2/3/2023 16:28,General ,TWITTER,Community Engagement ,27728,365,Photo
2/3/2023 16:30,DOTA2,TWITTER,N/A ,872,21,Video
2/3/2023 16:31,DOTA2,TWITTER,N/A ,649,9,Photo
2/3/2023 16:32,General ,INSTAGRAM,N/A ,3275,0,Photo
2/3/2023 16:33,General ,TWITTER,Community Engagement ,13178,861,Mixed
2/3/2023 16:34,General ,TWITTER,Community Engagement ,3485,109,Text
2/3/2023 16:44,General ,TWITTER,Community Engagement ,14592,143,Text
2/3/2023 16:44,General ,TWITTER,N/A ,0,0,Link
2/3/2023 16:54,General ,TWITTER,Community Engagement ,93,2,Text
2/3/2023 17:20,General ,TWITTER,Community Engagement ,12637,158,Photo
2/3/2023 17:29,General ,TWITTER,N/A ,0,0,Text
2/4/2023 3:50,General ,TWITTER,Evil Exhibited ,435,20,Text
2/4/2023 4:00,General ,TWITTER,N/A ,0,0,Text
2/4/2023 4:02,CSGO,TWITTER,Community Engagement ,3693,95,Photo
2/4/2023 4:22,CSGO,TWITTER,Community Engagement ,1548,183,Video
2/4/2023 5:19,CSGO,TWITTER,Community Engagement ,2658,32,Photo
2/4/2023 6:33,CSGO,TWITTER,Community Engagement ,2463,165,Photo
2/4/2023 9:00,CSGO,TWITTER,Community Engagement ,3657,171,Video
2/4/2023 10:05,General ,YOUTUBE,Evergreen ,600,24,Video
2/4/2023 10:05,General ,TIKTOK_BUSINESS,Evergreen ,1134,63,Video
2/4/2023 10:05,General ,INSTAGRAM,Evergreen ,7455,110,Video
2/4/2023 12:17,DOTA2,TWITTER,N/A ,968,37,Video
2/4/2023 17:33,General ,TWITTER,Community Engagement ,10252,54,Photo
2/4/2023 17:58,General ,TWITTER,Community Engagement ,10463,162,Video
2/4/2023 18:03,General ,TWITTER,Community Engagement ,12892,289,Video
2/4/2023 18:37,General ,TWITTER,Community Engagement ,11449,226,Video
2/4/2023 19:01,General ,TWITTER,Community Engagement ,14581,132,Photo
2/4/2023 19:07,General ,TWITTER,Community Engagement ,191,5,Text
2/5/2023 10:00,General ,YOUTUBE,Evil Exhibited ,459,8,Video
